fold,mode,k,draw,gamma_rmse,pl0_rmse,source
barcelona,bias,100,1,0.3187638631889485,8.90994121611239,gbdt
barcelona,residual,100,1,0.31645828400386267,8.481279481730674,gbdt
barcelona,bias,100,2,0.316529476074681,8.887045694699092,gbdt
barcelona,residual,100,2,0.3103060383958051,8.381715794481664,gbdt
barcelona,bias,100,3,0.3188628138181488,8.96331849973907,gbdt
barcelona,residual,100,3,0.31143290358838976,8.299206628281889,gbdt
barcelona,bias,100,4,0.3170927780174969,8.871447036767416,gbdt
barcelona,residual,100,4,0.3107827250699052,8.265015909884626,gbdt
barcelona,bias,100,5,0.3212195922363348,8.92721017231027,gbdt
barcelona,residual,100,5,0.3188278212594557,8.347665931356076,gbdt
barcelona,bias,100,6,0.3156081642510877,8.776688317987043,gbdt
barcelona,residual,100,6,0.3125926961877925,8.151429559548399,gbdt
barcelona,bias,100,7,0.32346736348305494,8.984101545068148,gbdt
barcelona,residual,100,7,0.3193050333001099,8.38958643665615,gbdt
barcelona,bias,100,8,0.3179780533807887,8.86910417668579,gbdt
barcelona,residual,100,8,0.3153550969939305,8.420821817566294,gbdt
barcelona,bias,100,9,0.32270253114058045,8.94381533332534,gbdt
barcelona,residual,100,9,0.3184093636026707,8.265812400182167,gbdt
berlin,bias,0,0,0.4329231228756561,10.721691909147447,gbdt
berlin,residual,0,0,0.4329231228756561,10.721691909147447,gbdt
berlin,bias,3,0,0.5909872662942894,16.306549695253672,gbdt
berlin,residual,3,0,0.5972282668842908,16.3927643240604,gbdt
berlin,bias,3,1,0.454081237945129,10.47132645869632,gbdt
berlin,residual,3,1,0.4540127748728861,10.467110929839398,gbdt
berlin,bias,3,2,0.4272612238244219,10.91728932843575,gbdt
berlin,residual,3,2,0.42664060873365234,10.95338423697544,gbdt
berlin,bias,3,3,0.4257273783760291,10.866844276554744,gbdt
berlin,residual,3,3,0.42557827482572075,10.866565305936698,gbdt
berlin,bias,3,4,0.4263893342587425,10.627644398281621,gbdt
berlin,residual,3,4,0.42472816222181825,10.646590349582631,gbdt
berlin,bias,3,5,0.42814435073609725,10.490110063770237,gbdt
berlin,residual,3,5,0.427929865487221,10.451230115132711,gbdt
berlin,bias,3,6,0.4438651919755534,10.379879535716551,gbdt
berlin,residual,3,6,0.4370716682445637,10.419464092516856,gbdt
berlin,bias,3,7,0.4268189365901808,10.302375723244923,gbdt
berlin,residual,3,7,0.4268446911383898,10.290674108074846,gbdt
berlin,bias,3,8,0.4284078058212175,10.859953730216395,gbdt
berlin,residual,3,8,0.4283245205996692,10.87261289745573,gbdt
berlin,bias,3,9,0.4971984909150445,11.698721085630519,gbdt
berlin,residual,3,9,0.4928471677188246,11.558001233430112,gbdt
berlin,bias,5,0,0.43027846433005845,10.329542495340124,gbdt
berlin,residual,5,0,0.43087650915123726,10.289926864172017,gbdt
berlin,bias,5,1,0.4262873806093864,10.335293187642069,gbdt
berlin,residual,5,1,0.42574330007359334,10.318272270651645,gbdt
berlin,bias,5,2,0.436842792174829,10.677775809276271,gbdt
berlin,residual,5,2,0.4351505641770155,10.68766643865339,gbdt
berlin,bias,5,3,0.4650194650786889,10.51173167074054,gbdt
berlin,residual,5,3,0.46976377473452763,10.601393256053404,gbdt
berlin,bias,5,4,0.5953871904462537,16.166835657090154,gbdt
berlin,residual,5,4,0.5802025581789721,15.573263101758135,gbdt
berlin,bias,5,5,0.4272724507302404,11.814953352910562,gbdt
berlin,residual,5,5,0.42669462941724134,11.85662461553566,gbdt
berlin,bias,5,6,0.4269782307462866,10.515972233361124,gbdt
berlin,residual,5,6,0.42565985013123364,10.44908922302473,gbdt
berlin,bias,5,7,0.44188321245232276,10.475101217743596,gbdt
berlin,residual,5,7,0.44221780862019183,10.469620061672353,gbdt
berlin,bias,5,8,0.4266093818683522,10.328056334831574,gbdt
berlin,residual,5,8,0.42669575106306507,10.287225777799206,gbdt
berlin,bias,5,9,0.42534288996417924,10.897263668422685,gbdt
berlin,residual,5,9,0.42947956595744613,10.563770662888043,gbdt
berlin,bias,10,0,0.46750637482432955,11.277728348879085,gbdt
berlin,residual,10,0,0.46708477267639764,11.247029609519359,gbdt
berlin,bias,10,1,0.4671365680637779,10.593205685150558,gbdt
berlin,residual,10,1,0.4698448423076343,10.704509364300002,gbdt
berlin,bias,10,2,0.42819265482746033,10.338947827161096,gbdt
berlin,residual,10,2,0.4283079824734803,10.347003329560438,gbdt
berlin,bias,10,3,0.45475303931495814,10.303884708084716,gbdt
berlin,residual,10,3,0.4593651127556213,10.27809379397652,gbdt
berlin,bias,10,4,0.4314788781287794,10.347982359085584,gbdt
berlin,residual,10,4,0.42997774029619384,10.310769649997441,gbdt
berlin,bias,10,5,0.42727947765729085,10.222838651132001,gbdt
berlin,residual,10,5,0.4274986300610369,10.03020093996308,gbdt
berlin,bias,10,6,0.426399703507111,11.596238293275444,gbdt
berlin,residual,10,6,0.4241556815478142,11.506134181732456,gbdt
berlin,bias,10,7,0.4919806371911472,11.286288999053442,gbdt
berlin,residual,10,7,0.4930753215376294,11.33886142780379,gbdt
berlin,bias,10,8,0.4319697165859004,10.319584201232848,gbdt
berlin,residual,10,8,0.4300473050434342,10.245692605056322,gbdt
berlin,bias,10,9,0.4323366686964959,10.385110256652299,gbdt
berlin,residual,10,9,0.4300303627229525,10.331686529220443,gbdt
berlin,bias,25,0,0.4265655361447835,10.299427941502904,gbdt
berlin,residual,25,0,0.42479500957092986,10.286076222322322,gbdt
berlin,bias,25,1,0.4373322244258919,10.592868194863323,gbdt
berlin,residual,25,1,0.4362672098167942,10.509438375089994,gbdt
berlin,bias,25,2,0.4238340127140161,10.310399864052453,gbdt
berlin,residual,25,2,0.4210316003877221,10.101414804571483,gbdt
berlin,bias,25,3,0.42532658910314863,10.330403179936065,gbdt
berlin,residual,25,3,0.42133150419387133,10.282834277633304,gbdt
berlin,bias,25,4,0.4499863715457015,10.57954918099419,gbdt
berlin,residual,25,4,0.4447699301526597,10.443835614032102,gbdt
berlin,bias,25,5,0.4276256858635247,10.42454762003018,gbdt
berlin,residual,25,5,0.42693371499910593,10.279610114807012,gbdt
berlin,bias,25,6,0.4278830881465686,10.315300708108623,gbdt
berlin,residual,25,6,0.4234720156868925,10.16242303883463,gbdt
berlin,bias,25,7,0.4545449177082806,10.85735622749506,gbdt
berlin,residual,25,7,0.45314289775940575,10.81504603932174,gbdt
berlin,bias,25,8,0.42566776560401737,10.398778772381688,gbdt
berlin,residual,25,8,0.42318739979048065,10.327819758555611,gbdt
berlin,bias,25,9,0.4253498580896004,10.285769250105643,gbdt
berlin,residual,25,9,0.4197156640391718,10.141739762294492,gbdt
berlin,bias,50,0,0.4283028270068821,10.319108457725994,gbdt
berlin,residual,50,0,0.4213052007389943,10.184834407607429,gbdt
berlin,bias,50,1,0.42397638202360255,10.294093172273657,gbdt
berlin,residual,50,1,0.41365007943065435,9.929154521429153,gbdt
berlin,bias,50,2,0.43262219848691325,10.392436791225865,gbdt
berlin,residual,50,2,0.42654285051204244,10.244200754534221,gbdt
berlin,bias,50,3,0.42720323910096514,10.264089089117038,gbdt
berlin,residual,50,3,0.42663420915960926,10.208018965897589,gbdt
berlin,bias,50,4,0.4275026508124634,10.273861561874686,gbdt
berlin,residual,50,4,0.416393183684726,9.922975808041048,gbdt
berlin,bias,50,5,0.42933446172037865,10.325519897700742,gbdt
berlin,residual,50,5,0.4314752341393797,10.381421889378734,gbdt
berlin,bias,50,6,0.4289809836697065,10.339100117468654,gbdt
berlin,residual,50,6,0.4187532007298838,10.085771063495365,gbdt
berlin,bias,50,7,0.436620164647471,10.434379567505754,gbdt
berlin,residual,50,7,0.42719422740948815,10.070415103714575,gbdt
berlin,bias,50,8,0.4408320469777133,11.030371794614975,gbdt
berlin,residual,50,8,0.43763344617485955,10.976481535880676,gbdt
berlin,bias,50,9,0.43154111832878833,10.301410235508152,gbdt
berlin,residual,50,9,0.416988771849151,9.948363671710105,gbdt
berlin,bias,100,0,0.42584625940506016,10.431708351013322,gbdt
berlin,residual,100,0,0.41293373326319643,10.16897987027586,gbdt
berlin,bias,100,1,0.42246933778527584,10.17792844009649,gbdt
berlin,residual,100,1,0.40856680720788663,9.692858137330388,gbdt
berlin,bias,100,2,0.4222717100572829,10.221752737619914,gbdt
berlin,residual,100,2,0.41234778819575973,9.926372625230298,gbdt
berlin,bias,100,3,0.42319033203740364,10.185324102003523,gbdt
berlin,residual,100,3,0.4126585628881021,9.89103726538556,gbdt
berlin,bias,100,4,0.42337301949817685,10.233547022811829,gbdt
berlin,residual,100,4,0.4095085984767661,9.768117225498488,gbdt
berlin,bias,100,5,0.433450179340979,10.402460882856396,gbdt
berlin,residual,100,5,0.424630395511713,10.082884219492385,gbdt
berlin,bias,100,6,0.4298007169177869,10.338129045393558,gbdt
berlin,residual,100,6,0.41810359302180505,10.003657815353261,gbdt
berlin,bias,100,7,0.42571509988240486,10.372107430638666,gbdt
berlin,residual,100,7,0.4105474548905211,9.818112981872197,gbdt
berlin,bias,100,8,0.4325969211249855,10.436849880666104,gbdt
berlin,residual,100,8,0.4202990287953769,10.162727118907398,gbdt
berlin,bias,100,9,0.42861804243319956,10.281040326281643,gbdt
berlin,residual,100,9,0.4205141315506831,9.988584780578993,gbdt
chicago,bias,0,0,1.0000379789865106,31.22506763317256,gbdt
chicago,residual,0,0,1.0000379789865106,31.22506763317256,gbdt
chicago,bias,3,0,0.6556285509685323,21.66174334690489,gbdt
chicago,residual,3,0,0.6549175361950281,21.628295460418194,gbdt
chicago,bias,3,1,0.6377591627322625,20.10205552044599,gbdt
chicago,residual,3,1,0.6380150191853605,20.112995474166354,gbdt
chicago,bias,3,2,0.5981835604067088,17.726325569999336,gbdt
chicago,residual,3,2,0.5956259266872331,17.721699691963146,gbdt
chicago,bias,3,3,0.875666065193653,26.647635693953646,gbdt
chicago,residual,3,3,0.8623361024046027,26.347398172837018,gbdt
chicago,bias,3,4,0.6162998866242763,18.033868128027308,gbdt
chicago,residual,3,4,0.6099476606935893,17.75702920346224,gbdt
chicago,bias,3,5,0.6082623431666223,18.241728498903296,gbdt
chicago,residual,3,5,0.6046708321519467,18.265340322043198,gbdt
chicago,bias,3,6,0.5677908568144444,18.137142975724895,gbdt
chicago,residual,3,6,0.5649709091918464,18.037210925987928,gbdt
chicago,bias,3,7,0.5765272772541066,17.439707343208724,gbdt
chicago,residual,3,7,0.5760604072849178,17.41420051671255,gbdt
chicago,bias,3,8,0.6086803489850675,17.470715414136674,gbdt
